Getting Grounded on Analytics,SME Onboarding,11/25/2019,12/06/2019,11/25/2019,12/06/2019,Completed,
Getting Grounded on Analytics,Documentary Requirements Completion,11/29/2019,12/19/2019,12/12/2019,12/19/2019,Completed,
Getting Grounded on Analytics,Video Content Production Shoots,12/20/2019,01/07/2020,12/20/2019,01/20/2020,Completed,
Getting Grounded on Analytics,Video Content Post-production,01/08/2020,01/31/2020,12/23/2019,01/24/2020,Completed,
Getting Grounded on Analytics,Beta Testing,02/03/2020,02/14/2020,01/20/2020,01/24/2020,Completed,
Getting Grounded on Analytics,Launch,02/17/2020,02/19/2020,01/27/2020,01/27/2020,Completed,
Essential Excel Skills for Business,SME Onboarding,11/19/2019,11/22/2019,12/29/2019,01/08/2020,Completed,Change of SME due to unplanned undercapacity
Essential Excel Skills for Business,Documentary Requirements Completion,11/29/2019,12/19/2019,01/08/2020,01/14/2020,Completed,Change of SME due to unplanned undercapacity
Essential Excel Skills for Business,Video Content Production Shoots,01/06/2020,01/17/2020,01/20/2020,01/24/2020,Completed,Reschedule due to effects of Taal eruption
Essential Excel Skills for Business,Video Content Post-production,01/20/2020,02/12/2020,02/04/2020,,Completed,
Essential Excel Skills for Business,Beta Testing,02/13/2020,02/27/2020,02/10/2020,,Completed,
Essential Excel Skills for Business,Launch,02/28/2020,03/03/2020,,,Completed,
SQL for Business Users,SME Onboarding,03/26/2020,03/30/2020,03/30/2020,,Completed,
SQL for Business Users,Documentary Requirements Completion,03/31/2020,04/30/2020,04/30/2020,,In-progress,
SQL for Business Users,Video Content Production Shoots,04/04/2020,04/20/2020,05/04/2020,,Not Started,
SQL for Business Users,Video Content Post-production,04/21/2020,05/15/2020,,,Not Started,
SQL for Business Users,Beta Testing,05/18/2020,05/29/2020,,,Not Started,
SQL for Business Users,Launch,06/01/2020,06/03/2020,,,Not Started,
Computing in Python,SME Onboarding,,,,,In-progress,
Computing in Python,Documentary Requirements Completion,,,,,Not Started,
Computing in Python,Video Content Production Shoots,,,,,Not Started,
Computing in Python,Video Content Post-production,,,,,Not Started,
Computing in Python,Beta Testing,,,,,Not Started,
Computing in Python,Launch,,,,,Not Started,
Data Visualization Fundamentals,SME Onboarding,12/29/2019,01/08/2020,02/01/2020,,Completed,
Data Visualization Fundamentals,Documentary Requirements Completion,01/27/2020,02/14/2020,04/30/2020,,In-progress,
Data Visualization Fundamentals,Video Content Production Shoots,02/18/2020,03/03/2020,05/04/2020,,Not Started,
Data Visualization Fundamentals,Video Content Post-production,03/04/2020,03/27/2020,,,Not Started,
Data Visualization Fundamentals,Beta Testing,03/30/2020,04/14/2020,,,Not Started,
Data Visualization Fundamentals,Launch,04/15/2020,04/17/2020,,,Not Started,
SQL for Data Engineering,SME Onboarding,,,,,Completed,
SQL for Data Engineering,Documentary Requirements Completion,,,,,In-progress,
SQL for Data Engineering,Video Content Production Shoots,,,,,Not Started,
SQL for Data Engineering,Video Content Post-production,,,,,Not Started,
SQL for Data Engineering,Beta Testing,,,,,Not Started,
SQL for Data Engineering,Launch,,,,,Not Started,
Statistical Analysis and Modeling using Excel,SME Onboarding,11/19/2019,11/22/2019,11/19/2019,11/22/2019,Completed,
Statistical Analysis and Modeling using Excel,Documentary Requirements Completion,11/29/2019,12/19/2019,01/15/2020,01/27/2020,In-progress,SME undercapacitized.  No alternate SME for the course.
Statistical Analysis and Modeling using Excel,Video Content Production Shoots,01/20/2020,01/31/2020,01/29/2020,,In-progress,"Rescheduled 3x. Reasons were: (1) Due to Taal eruption, (2) SME undecapacity, and (3) output freeze until AAP project resources' LOI sign-off and payment"
Statistical Analysis and Modeling using Excel,Video Content Post-production,02/03/2020,02/27/2020,,,Not Started,
Statistical Analysis and Modeling using Excel,Beta Testing,02/28/2020,03/12/2020,,,Not Started,
Statistical Analysis and Modeling using Excel,Launch,03/13/2020,03/17/2020,,,Not Started,
Data-driven Research Fundamentals,SME Onboarding,12/16/2019,12/23/2019,,,,
Data-driven Research Fundamentals,Documentary Requirements Completion,02/03/2020,02/21/2020,,,,
Data-driven Research Fundamentals,Video Content Production Shoots,02/24/2020,03/09/2020,,,,
Data-driven Research Fundamentals,Video Content Post-production,03/10/2020,04/02/2020,,,,
Data-driven Research Fundamentals,Beta Testing,04/03/2020,04/20/2020,,,,
Data-driven Research Fundamentals,Launch,04/21/2020,04/23/2020,,,,
Data Management Fundamentals,SME Onboarding,12/17/2019,12/19/2019,12/17/2019,12/19/2019,Completed,
Data Management Fundamentals,Documentary Requirements Completion,12/20/2019,01/03/2020,01/17/2020,,In-progress,SME undercapacitized.  No alternate SME for the course.  Submission of presentation deck and exit assessments on hold due output freeze until AAP project resources' LOI sign-off and payment.
Data Management Fundamentals,Video Content Production Shoots,01/06/2020,01/17/2020,01/20/2020,01/20/2020,Completed,
Data Management Fundamentals,Video Content Post-production,01/20/2020,02/12/2020,,,Not Started,
Data Management Fundamentals,Beta Testing,02/13/2020,02/27/2020,,,Not Started,
Data Management Fundamentals,Launch,02/28/2020,03/03/2020,05/15/2020,,Not Started,
Enterprise Data Governance,SME Onboarding,12/17/2019,12/19/2019,,,,
Enterprise Data Governance,Documentary Requirements Completion,01/20/2020,02/07/2020,,,,
Enterprise Data Governance,Video Content Production Shoots,02/10/2020,02/21/2020,,,,
Enterprise Data Governance,Video Content Post-production,02/24/2020,03/19/2020,,,,
Enterprise Data Governance,Beta Testing,03/20/2020,04/02/2020,,,,
